#loc_id	ags	ascii	name	lat	lon	amt	plz	vorwahl	einwohner	flaeche	kz	typ	level	of	invalid
31600	G4551	AADORF	Aadorf	47.489979	8.91318		8355		7301	199.7		Gemeinde	6	78636	
78622	B1901	AARAU	Bezirk Aarau						63191	1043.9	AG	Bezirk	4	133	
30444	G4001	AARAU	Aarau	47.388995	8.048332		5004,5001,5000		15470	89.2		Stadt	6	78622	
78528	B0201	AARBERG	Amtsbezirk Aarberg						33189	1526	BE	Amtsbezirk	4	136	
30580	G0301	AARBERG	Aarberg	47.048267	7.280939		3270		3802	79.2		Stadt	6	78528	
30445	G4271	AARBURG	Aarburg	47.322655	7.911055		4663		6263	44.2		Stadt	6	78631	
133	K19	AARGAU	Aargau	47.379176	8.0842850237						AG	Kanton	3	107	
78529	B0202	AARWANGEN	Amtsbezirk Aarwangen						40835	1539.9	BE	Amtsbezirk	4	136	
30581	G0321	AARWANGEN	Aarwangen	47.235312	7.758262		4912		4001	98.7		Gemeinde	6	78529	
30582		ABLAENDSCHEN	Abländschen	46.565187	7.3074028706		1657						7	30760	
79469	G4221	ABTWIL	Abtwil	47.169938	8.351345		5646		674	41.4	AG	Gemeinde	6	78629	
79707	G5621	ACLENS	Aclens	46.567404	6.51076		1123		363	39.2	VD	Gemeinde	6	78670	
31670	G5048	ACQUAROSSA	Acquarossa	46.45556	8.933244		6716		1778	616.5		Gemeinde	6	78642	
30583	G0561	ADELBODEN	Adelboden	46.475392	7.555452		3715		3634	881.9		Gemeinde	6	78537	
31262	G1051	ADLIGENSWIL	Adligenswil	47.070535	8.368244		6043		5010	69.9		Gemeinde	6	78556	
78702	G0021	ADLIKON	Adlikon	47.582147	8.702667		8452		587	66.1	ZH	Gemeinde	6	78517	
32201	G0131	ADLISWIL	Adliswil	47.312155	8.521826		8134		15822	77.8		Stadt	6	78521	
31504	G2421	AEDERMANNSDORF	Aedermannsdorf	47.309634	7.592962		4714		543	128.8		Gemeinde	6	78578	
78798	G0401	AEFLIGEN	Aefligen	47.095688	7.549425		3426		1014	20.3	BE	Gemeinde	6	78533	
80045	G9270	AEGERISEE	Aegerisee	47.121031	8.619657					72.6		See	6	107	
78896	G0731	AEGERTEN	Aegerten	47.114457	7.284338		2558		1663	21.7	BE	Gemeinde	6	78543	
78760	G0241	AESCH	Aesch (ZH)	47.335048	8.404056		8904		950	52.4	ZH	Gemeinde	6	78526	
78976	G1021	AESCH	Aesch (LU)	47.256949	8.24087		6287		950	46.2	LU	Gemeinde	6	78555	
79212	G2761	AESCH	Aesch (BL)	47.472751	7.584885		4147		9735	73.9	BL	Gemeinde	6	78588	
30584		AESCHAU	Aeschau	46.897257	7.7701719263		3536						7	30626	
78848	G0562	AESCHI	Aeschi bei Spiez	46.623498	7.747447		3703		2025	309.9	BE	Gemeinde	6	78537	
79175	G2511	AESCHI	Aeschi (SO)	47.17417	7.655231		4556		1015	38	SO	Gemeinde	6	78582	
78860	G0601	AESCHLEN	Aeschlen	46.832436	7.645608		3672		317	48.9	BE	Gemeinde	6	78539	
79145	G2441	AETIGKOFEN	Aetigkofen	47.12324	7.462918		4583		179	20.5	SO	Gemeinde	6	78579	
79146	G2442	AETINGEN	Aetingen	47.126791	7.498148		4587		273	28.3	SO	Gemeinde	6	78579	
30446		AETTENSCHWIL	Aettenschwil	47.183296	8.3639405421		5645						7	30531	
78697	G0001	AEUGST	Aeugst am Albis	47.265461	8.488755		8914		1544	79	ZH	Gemeinde	6	78516	
31601	G4711	AFFELTRANGEN	Affeltrangen	47.520319	9.04483		9556		2135	144.4		Gemeinde	6	78638	
78516	B0101	AFFOLTERN	Bezirk Affoltern						41821	1130.6	ZH	Bezirk	4	158	
32202	G0002	AFFOLTERN	Affoltern am Albis	47.281754	8.450246		8910		10314	106.1		Stadt	6	78516	
78953	G0951	AFFOLTERN	Affoltern im Emmental	47.066512	7.733824		3416		1212	115	BE	Gemeinde	6	78552	
32037	G6101	AGARN	Agarn	46.276619	7.663583		3951		758	76.5		Gemeinde	6	78679	
31871	G5742	AGIEZ	Agiez	46.71808	6.508968		1352		224	54.7		Gemeinde	6	78667	
31671	G5141	AGNO	Agno	45.997604	8.899871		6982		3655	24.9		Stadt	6	78645	
31672		AGRA	Agra	45.966581	8.9187686635		6927						7	79600	
78463		AGRISWIL	Agriswil	46.9541	7.1972872705						FR	ehem. Gemeinde	7	79118	
78664	B2221	AIGLE	District d'Aigle						35248	4348.6	VD	District	4	155	
31872	G5401	AIGLE	Aigle	46.315046	6.971939		1860		7955	163.6		Stadt	6	78664	
30966		AIRE	Aïre	46.200801	6.1511472607		1219						7	30999	
